Epoch: [0][0/596], lr: 0.0002500	Time 14.672 (14.672)	Loss 4.5956 (4.5956)	Loss_h 4.6282 (4.6282)	Prec@1 0.000 (0.000)	
Epoch: [0][20/596], lr: 0.0002500	Time 0.543 (1.223)	Loss 4.5978 (4.6137)	Loss_h 4.5790 (4.6105)	Prec@1 0.000 (1.786)	
Epoch: [0][40/596], lr: 0.0002500	Time 0.548 (0.890)	Loss 4.6086 (4.6087)	Loss_h 4.5365 (4.5932)	Prec@1 0.000 (1.220)	
Epoch: [0][60/596], lr: 0.0002500	Time 0.553 (0.774)	Loss 4.5056 (4.5981)	Loss_h 4.5077 (4.5749)	Prec@1 6.250 (1.537)	
Epoch: [0][80/596], lr: 0.0002500	Time 0.556 (0.717)	Loss 4.4919 (4.5849)	Loss_h 4.4238 (4.5539)	Prec@1 18.750 (3.009)	
Epoch: [0][100/596], lr: 0.0002500	Time 0.556 (0.681)	Loss 4.4694 (4.5698)	Loss_h 4.6007 (4.5397)	Prec@1 12.500 (4.022)	
Epoch: [0][120/596], lr: 0.0002500	Time 0.557 (0.657)	Loss 4.4050 (4.5439)	Loss_h 4.3756 (4.5258)	Prec@1 12.500 (5.320)	
Epoch: [0][140/596], lr: 0.0002500	Time 0.565 (0.640)	Loss 4.2633 (4.4990)	Loss_h 4.4432 (4.5076)	Prec@1 12.500 (7.402)	
Epoch: [0][160/596], lr: 0.0002500	Time 0.555 (0.627)	Loss 3.4423 (4.4058)	Loss_h 4.4073 (4.4835)	Prec@1 31.250 (10.287)	
Epoch: [0][180/596], lr: 0.0002500	Time 0.528 (0.616)	Loss 1.6390 (4.2091)	Loss_h 4.2623 (4.4645)	Prec@1 75.000 (14.192)	
Epoch: [0][200/596], lr: 0.0002500	Time 0.531 (0.607)	Loss 1.6113 (3.9368)	Loss_h 4.4122 (4.4415)	Prec@1 68.750 (19.341)	
Epoch: [0][220/596], lr: 0.0002500	Time 0.556 (0.601)	Loss 1.0482 (3.6812)	Loss_h 4.1303 (4.4247)	Prec@1 81.250 (23.840)	
Epoch: [0][240/596], lr: 0.0002500	Time 0.540 (0.596)	Loss 0.6700 (3.4553)	Loss_h 4.4331 (4.4069)	Prec@1 87.500 (28.086)	
Epoch: [0][260/596], lr: 0.0002500	Time 0.557 (0.592)	Loss 0.4678 (3.2663)	Loss_h 4.1093 (4.3936)	Prec@1 87.500 (31.729)	
Epoch: [0][280/596], lr: 0.0002500	Time 0.521 (0.588)	Loss 0.6449 (3.0978)	Loss_h 4.2311 (4.3756)	Prec@1 75.000 (34.786)	
Epoch: [0][300/596], lr: 0.0002500	Time 0.542 (0.585)	Loss 2.0558 (2.9444)	Loss_h 4.2712 (4.3603)	Prec@1 50.000 (37.687)	
Epoch: [0][320/596], lr: 0.0002500	Time 0.553 (0.582)	Loss 1.2039 (2.8079)	Loss_h 3.8557 (4.3458)	Prec@1 68.750 (40.148)	
Epoch: [0][340/596], lr: 0.0002500	Time 0.513 (0.579)	Loss 0.9117 (2.6852)	Loss_h 4.5641 (4.3324)	Prec@1 75.000 (42.449)	
Epoch: [0][360/596], lr: 0.0002500	Time 0.550 (0.577)	Loss 0.7518 (2.5741)	Loss_h 3.7205 (4.3220)	Prec@1 75.000 (44.650)	
Epoch: [0][380/596], lr: 0.0002500	Time 0.526 (0.575)	Loss 0.8323 (2.4642)	Loss_h 4.3570 (4.3083)	Prec@1 75.000 (46.785)	
Epoch: [0][400/596], lr: 0.0002500	Time 0.512 (0.573)	Loss 0.4953 (2.3732)	Loss_h 3.9182 (4.2959)	Prec@1 87.500 (48.519)	
Epoch: [0][420/596], lr: 0.0002500	Time 0.548 (0.571)	Loss 0.8354 (2.2822)	Loss_h 3.4230 (4.2769)	Prec@1 87.500 (50.327)	
Epoch: [0][440/596], lr: 0.0002500	Time 0.545 (0.570)	Loss 0.8723 (2.1992)	Loss_h 4.1180 (4.2605)	Prec@1 75.000 (52.083)	
Epoch: [0][460/596], lr: 0.0002500	Time 0.542 (0.569)	Loss 0.4679 (2.1268)	Loss_h 3.9399 (4.2480)	Prec@1 93.750 (53.484)	
Epoch: [0][480/596], lr: 0.0002500	Time 0.516 (0.567)	Loss 0.4984 (2.0599)	Loss_h 4.1814 (4.2335)	Prec@1 75.000 (54.756)	
Epoch: [0][500/596], lr: 0.0002500	Time 0.553 (0.566)	Loss 0.3672 (1.9954)	Loss_h 3.9461 (4.2223)	Prec@1 93.750 (56.125)	
Epoch: [0][520/596], lr: 0.0002500	Time 0.592 (0.565)	Loss 1.1164 (1.9332)	Loss_h 4.0642 (4.2134)	Prec@1 81.250 (57.390)	
Epoch: [0][540/596], lr: 0.0002500	Time 0.557 (0.564)	Loss 0.3589 (1.8745)	Loss_h 4.0262 (4.1988)	Prec@1 87.500 (58.595)	
Epoch: [0][560/596], lr: 0.0002500	Time 0.517 (0.563)	Loss 0.8087 (1.8241)	Loss_h 3.7823 (4.1881)	Prec@1 81.250 (59.603)	
Epoch: [0][580/596], lr: 0.0002500	Time 0.529 (0.562)	Loss 0.3189 (1.7761)	Loss_h 4.3040 (4.1777)	Prec@1 87.500 (60.628)	
Test: [0/237]	Time 9.461 (9.461)	Loss 0.2879 (0.2879)	Prec@1 87.500 (87.500)	Prec@5 93.750 (93.750)
Test: [20/237]	Time 0.383 (0.769)	Loss 0.3359 (0.3940)	Prec@1 87.500 (88.095)	Prec@5 100.000 (97.917)
Test: [40/237]	Time 0.340 (0.555)	Loss 0.3614 (0.3807)	Prec@1 87.500 (88.720)	Prec@5 100.000 (98.171)
Test: [60/237]	Time 0.303 (0.485)	Loss 0.4147 (0.3525)	Prec@1 93.750 (89.447)	Prec@5 100.000 (98.668)
Test: [80/237]	Time 0.333 (0.449)	Loss 0.4193 (0.3441)	Prec@1 87.500 (89.352)	Prec@5 93.750 (98.765)
Test: [100/237]	Time 0.346 (0.425)	Loss 0.1725 (0.3316)	Prec@1 87.500 (90.037)	Prec@5 100.000 (98.948)
Test: [120/237]	Time 0.375 (0.409)	Loss 0.2738 (0.3226)	Prec@1 87.500 (90.186)	Prec@5 100.000 (99.070)
Test: [140/237]	Time 0.316 (0.398)	Loss 0.1964 (0.3196)	Prec@1 100.000 (90.426)	Prec@5 100.000 (99.113)
Test: [160/237]	Time 0.353 (0.390)	Loss 0.4215 (0.3181)	Prec@1 93.750 (90.411)	Prec@5 100.000 (99.185)
Test: [180/237]	Time 0.376 (0.382)	Loss 0.5491 (0.3242)	Prec@1 87.500 (90.159)	Prec@5 100.000 (99.171)
Test: [200/237]	Time 0.330 (0.376)	Loss 0.0767 (0.3310)	Prec@1 93.750 (89.925)	Prec@5 100.000 (99.098)
Test: [220/237]	Time 0.318 (0.371)	Loss 0.7158 (0.3397)	Prec@1 81.250 (89.734)	Prec@5 93.750 (99.067)
Testing Results: Prec@1 89.691 Prec@5 99.075 Loss 0.34044
Best Prec@1: 89.691

Epoch: [1][0/596], lr: 0.0002500	Time 3.086 (3.086)	Loss 0.2384 (0.2384)	Loss_h 3.7927 (3.7927)	Prec@1 87.500 (87.500)	
Epoch: [1][20/596], lr: 0.0002500	Time 0.552 (0.668)	Loss 0.2861 (0.3686)	Loss_h 3.7482 (3.8448)	Prec@1 93.750 (87.798)	
Epoch: [1][40/596], lr: 0.0002500	Time 0.556 (0.607)	Loss 0.2190 (0.3244)	Loss_h 3.4830 (3.8235)	Prec@1 93.750 (89.634)	
Epoch: [1][60/596], lr: 0.0002500	Time 0.560 (0.586)	Loss 0.4501 (0.3108)	Loss_h 4.0794 (3.7908)	Prec@1 87.500 (90.984)	
Epoch: [1][80/596], lr: 0.0002500	Time 0.525 (0.575)	Loss 0.2386 (0.2874)	Loss_h 3.7188 (3.8084)	Prec@1 93.750 (91.898)	
Epoch: [1][100/596], lr: 0.0002500	Time 0.562 (0.570)	Loss 0.0656 (0.2945)	Loss_h 3.6096 (3.8031)	Prec@1 100.000 (91.770)	
Epoch: [1][120/596], lr: 0.0002500	Time 0.552 (0.566)	Loss 0.6403 (0.2992)	Loss_h 3.7859 (3.7991)	Prec@1 68.750 (91.529)	
Epoch: [1][140/596], lr: 0.0002500	Time 0.551 (0.562)	Loss 0.1611 (0.2932)	Loss_h 3.3300 (3.7919)	Prec@1 93.750 (91.445)	
Epoch: [1][160/596], lr: 0.0002500	Time 0.524 (0.559)	Loss 0.3983 (0.2872)	Loss_h 4.3849 (3.7995)	Prec@1 81.250 (91.654)	
Epoch: [1][180/596], lr: 0.0002500	Time 0.539 (0.558)	Loss 0.8441 (0.2881)	Loss_h 3.7325 (3.7924)	Prec@1 81.250 (91.644)	
Epoch: [1][200/596], lr: 0.0002500	Time 0.549 (0.557)	Loss 0.1785 (0.2872)	Loss_h 4.1625 (3.7875)	Prec@1 100.000 (91.698)	
Epoch: [1][220/596], lr: 0.0002500	Time 0.529 (0.555)	Loss 0.2448 (0.2841)	Loss_h 3.0640 (3.7733)	Prec@1 93.750 (91.714)	
Epoch: [1][240/596], lr: 0.0002500	Time 0.520 (0.555)	Loss 0.4508 (0.2858)	Loss_h 3.3844 (3.7646)	Prec@1 87.500 (91.701)	
Epoch: [1][260/596], lr: 0.0002500	Time 0.559 (0.554)	Loss 0.2737 (0.2856)	Loss_h 3.7715 (3.7582)	Prec@1 87.500 (91.739)	
Epoch: [1][280/596], lr: 0.0002500	Time 0.539 (0.553)	Loss 0.5229 (0.2854)	Loss_h 3.6765 (3.7616)	Prec@1 87.500 (91.748)	
