Epoch: [0][20/1333], lr: 0.0002500	Time 2.074 (2.314)	Loss 4.6410 (4.7291)	Loss_h 4.7594 (4.7673)	Prec@1 0.000 (0.000)	
Epoch: [0][40/1333], lr: 0.0002500	Time 2.106 (2.203)	Loss 3.3484 (4.4691)	Loss_h 4.5532 (4.6323)	Prec@1 100.000 (26.087)	
Epoch: [0][160/1333], lr: 0.0002500	Time 2.008 (2.106)	Loss 4.8608 (4.6444)	Loss_h 4.4629 (4.6798)	Prec@1 0.000 (8.696)	
Epoch: [0][200/1333], lr: 0.0002500	Time 2.091 (2.059)	Loss 4.8549 (4.6831)	Loss_h 4.6920 (4.6793)	Prec@1 0.000 (6.742)	
Epoch: [0][220/1333], lr: 0.0002500	Time 2.187 (2.042)	Loss 4.6174 (4.7049)	Loss_h 4.7095 (4.6512)	Prec@1 0.000 (5.941)	
Epoch: [0][240/1333], lr: 0.0002500	Time 1.531 (2.063)	Loss 4.8309 (4.7129)	Loss_h 4.3550 (4.6524)	Prec@1 0.000 (5.405)	
Epoch: [0][260/1333], lr: 0.0002500	Time 1.971 (2.073)	Loss 4.8200 (4.7189)	Loss_h 5.1167 (4.6643)	Prec@1 0.000 (5.000)	
Epoch: [0][300/1333], lr: 0.0002500	Time 1.539 (2.088)	Loss 4.7322 (4.7296)	Loss_h 4.9423 (4.6745)	Prec@1 0.000 (4.317)	
Epoch: [0][340/1333], lr: 0.0002500	Time 1.731 (2.075)	Loss 4.7062 (4.7341)	Loss_h 4.7263 (4.6854)	Prec@1 0.000 (4.082)	
Epoch: [0][360/1333], lr: 0.0002500	Time 2.748 (2.087)	Loss 4.8177 (4.7259)	Loss_h 4.6083 (4.6821)	Prec@1 0.000 (3.681)	
Epoch: [0][380/1333], lr: 0.0002500	Time 1.555 (2.073)	Loss 4.8852 (4.7269)	Loss_h 4.7757 (4.6836)	Prec@1 0.000 (3.409)	
Epoch: [0][440/1333], lr: 0.0002500	Time 2.069 (2.041)	Loss 4.6464 (4.7021)	Loss_h 4.6661 (4.6928)	Prec@1 0.000 (3.846)	
Epoch: [0][460/1333], lr: 0.0002500	Time 1.901 (2.035)	Loss 4.3751 (4.6982)	Loss_h 4.3649 (4.6889)	Prec@1 0.000 (3.721)	
Epoch: [0][480/1333], lr: 0.0002500	Time 1.586 (2.035)	Loss 4.6365 (4.6874)	Loss_h 4.4845 (4.6802)	Prec@1 0.000 (3.571)	
Epoch: [0][500/1333], lr: 0.0002500	Time 1.533 (2.041)	Loss 4.9887 (4.6683)	Loss_h 4.4762 (4.6603)	Prec@1 0.000 (3.419)	
Epoch: [0][560/1333], lr: 0.0002500	Time 1.854 (2.036)	Loss 5.0968 (4.6633)	Loss_h 4.2848 (4.6483)	Prec@1 0.000 (3.042)	
Epoch: [0][640/1333], lr: 0.0002500	Time 1.975 (2.036)	Loss 5.0155 (4.6661)	Loss_h 4.7266 (4.6542)	Prec@1 0.000 (2.649)	
Epoch: [0][660/1333], lr: 0.0002500	Time 1.728 (2.033)	Loss 4.7655 (4.6682)	Loss_h 4.7658 (4.6562)	Prec@1 0.000 (2.564)	
Epoch: [0][700/1333], lr: 0.0002500	Time 2.671 (2.040)	Loss 4.7297 (4.6718)	Loss_h 4.7016 (4.6607)	Prec@1 0.000 (2.395)	
Epoch: [0][720/1333], lr: 0.0002500	Time 2.262 (2.050)	Loss 4.6873 (4.6749)	Loss_h 4.6911 (4.6622)	Prec@1 0.000 (2.305)	
Epoch: [0][740/1333], lr: 0.0002500	Time 2.551 (2.050)	Loss 4.7142 (4.6758)	Loss_h 4.7958 (4.6642)	Prec@1 0.000 (2.254)	
Epoch: [0][800/1333], lr: 0.0002500	Time 2.272 (2.052)	Loss 4.7348 (4.6804)	Loss_h 4.7042 (4.6680)	Prec@1 0.000 (2.094)	
Epoch: [0][820/1333], lr: 0.0002500	Time 2.310 (2.051)	Loss 4.8068 (4.6817)	Loss_h 4.6825 (4.6684)	Prec@1 0.000 (2.057)	
Epoch: [0][900/1333], lr: 0.0002500	Time 1.845 (2.035)	Loss 4.7506 (4.6860)	Loss_h 4.7516 (4.6722)	Prec@1 0.000 (1.878)	
Epoch: [0][940/1333], lr: 0.0002500	Time 2.099 (2.032)	Loss 4.6093 (4.6876)	Loss_h 4.6612 (4.6742)	Prec@1 0.000 (1.786)	
Epoch: [0][980/1333], lr: 0.0002500	Time 1.978 (2.033)	Loss 4.7325 (4.6892)	Loss_h 4.7630 (4.6752)	Prec@1 0.000 (1.720)	
Epoch: [0][1000/1333], lr: 0.0002500	Time 1.631 (2.032)	Loss 4.5641 (4.6898)	Loss_h 4.6520 (4.6757)	Prec@1 0.000 (1.695)	
Epoch: [0][1020/1333], lr: 0.0002500	Time 2.236 (2.034)	Loss 4.6780 (4.6899)	Loss_h 4.6999 (4.6767)	Prec@1 0.000 (1.656)	
Epoch: [0][1040/1333], lr: 0.0002500	Time 1.906 (2.031)	Loss 4.7516 (4.6914)	Loss_h 4.6897 (4.6773)	Prec@1 0.000 (1.626)	
Epoch: [0][1060/1333], lr: 0.0002500	Time 1.652 (2.025)	Loss 4.6805 (4.6929)	Loss_h 4.6916 (4.6778)	Prec@1 0.000 (1.594)	
Epoch: [0][1100/1333], lr: 0.0002500	Time 2.152 (2.027)	Loss 4.7350 (4.6940)	Loss_h 4.6884 (4.6790)	Prec@1 0.000 (1.527)	
Epoch: [0][1120/1333], lr: 0.0002500	Time 1.973 (2.025)	Loss 4.6795 (4.6944)	Loss_h 4.7309 (4.6795)	Prec@1 0.000 (1.501)	
Epoch: [0][1160/1333], lr: 0.0002500	Time 1.887 (2.026)	Loss 4.6694 (4.6946)	Loss_h 4.7091 (4.6804)	Prec@1 0.000 (1.447)	
Epoch: [0][1180/1333], lr: 0.0002500	Time 2.523 (2.028)	Loss 4.6974 (4.6947)	Loss_h 4.6996 (4.6807)	Prec@1 0.000 (1.421)	
Epoch: [0][1200/1333], lr: 0.0002500	Time 2.109 (2.026)	Loss 4.7419 (4.6954)	Loss_h 4.7285 (4.6814)	Prec@1 0.000 (1.391)	
Epoch: [0][1240/1333], lr: 0.0002500	Time 1.542 (2.029)	Loss 4.6200 (4.6957)	Loss_h 4.7301 (4.6822)	Prec@1 0.000 (1.340)	
Epoch: [0][1280/1333], lr: 0.0002500	Time 1.924 (2.030)	Loss 4.7697 (4.6961)	Loss_h 4.6626 (4.6831)	Prec@1 0.000 (1.303)	
Epoch: [0][1300/1333], lr: 0.0002500	Time 2.086 (2.029)	Loss 4.7543 (4.6963)	Loss_h 4.7120 (4.6836)	Prec@1 0.000 (1.286)	
Test: [40/457]	Time 1.767 (2.083)	Loss 5.1530 (4.8340)	Prec@1 0.000 (0.000)	Prec@5 0.000 (5.263)
Test: [100/457]	Time 1.885 (2.020)	Loss 4.6489 (4.8060)	Prec@1 0.000 (0.000)	Prec@5 0.000 (4.348)
Test: [120/457]	Time 1.992 (1.989)	Loss 4.4754 (4.7884)	Prec@1 0.000 (0.000)	Prec@5 0.000 (5.357)
Test: [140/457]	Time 1.532 (1.944)	Loss 4.5761 (4.7534)	Prec@1 0.000 (0.000)	Prec@5 0.000 (7.463)
Test: [160/457]	Time 1.532 (1.921)	Loss 4.5032 (4.7260)	Prec@1 0.000 (2.632)	Prec@5 100.000 (11.842)
Test: [200/457]	Time 1.866 (1.912)	Loss 4.3933 (4.7214)	Prec@1 0.000 (4.301)	Prec@5 100.000 (13.978)
Test: [300/457]	Time 1.670 (1.958)	Loss 4.7029 (4.7176)	Prec@1 0.000 (2.759)	Prec@5 0.000 (11.724)
Test: [320/457]	Time 1.776 (1.948)	Loss 4.6415 (4.7168)	Prec@1 0.000 (2.581)	Prec@5 0.000 (10.968)
Test: [340/457]	Time 2.143 (1.945)	Loss 4.6514 (4.7197)	Prec@1 0.000 (2.439)	Prec@5 0.000 (10.366)
Test: [380/457]	Time 1.562 (1.931)	Loss 4.7122 (4.7150)	Prec@1 0.000 (2.162)	Prec@5 0.000 (9.730)
Test: [420/457]	Time 1.893 (1.925)	Loss 4.6120 (4.7092)	Prec@1 0.000 (1.970)	Prec@5 0.000 (9.360)
Test: [440/457]	Time 1.773 (1.914)	Loss 4.6566 (4.7075)	Prec@1 0.000 (1.887)	Prec@5 0.000 (8.962)
Testing Results: Prec@1 1.818 Prec@5 9.091 Loss 4.70714
Best Prec@1: 1.818

Epoch: [1][20/1333], lr: 0.0002500	Time 2.137 (2.074)	Loss 4.8051 (4.7952)	Loss_h 4.7045 (4.6976)	Prec@1 0.000 (0.000)	
Epoch: [1][40/1333], lr: 0.0002500	Time 2.127 (1.985)	Loss 4.0985 (4.6330)	Loss_h 4.4869 (4.6326)	Prec@1 0.000 (0.000)	
Epoch: [1][160/1333], lr: 0.0002500	Time 1.982 (2.022)	Loss 5.1717 (3.9761)	Loss_h 4.6910 (4.5898)	Prec@1 0.000 (4.348)	
Epoch: [1][200/1333], lr: 0.0002500	Time 2.174 (2.000)	Loss 3.4085 (4.0127)	Loss_h 4.6904 (4.6114)	Prec@1 0.000 (3.371)	
Epoch: [1][220/1333], lr: 0.0002500	Time 2.083 (1.983)	Loss 6.7833 (3.9931)	Loss_h 4.6673 (4.6119)	Prec@1 0.000 (4.950)	
Epoch: [1][240/1333], lr: 0.0002500	Time 1.528 (1.994)	Loss 4.2821 (4.1193)	Loss_h 4.5083 (4.6206)	Prec@1 0.000 (4.505)	
Epoch: [1][260/1333], lr: 0.0002500	Time 1.964 (2.007)	Loss 3.9582 (4.1391)	Loss_h 3.8945 (4.6016)	Prec@1 0.000 (4.167)	
